Title,Authors,Date,Pureportal,Pub Link
Corruption and its diverse effect on credit risk: global evidence,"Hasan, R.",21 Apr 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/corruption-and-its-diverse-effect-on-credit-risk-global-evidence
CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,,7 Jan 2021,,https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin
Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,"Alhababsah, S.,Alhaj Ismail, A.",8 Nov 2021,"https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail",https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p
Do Islamic Stock Indices Perform Better Than Their Conventional Counterparts?,"Kabir, S.",2021,https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir,https://pureportal.coventry.ac.uk/en/publications/do-islamic-stock-indices-perform-better-than-their-conventional-c
Drifts in Governance: Evidence from the management of COVID-19 in China,"Chen, J.",2021,https://pureportal.coventry.ac.uk/en/persons/junyuan-chen,https://pureportal.coventry.ac.uk/en/publications/drifts-in-governance-evidence-from-the-management-of-covid-19-in-
"Equity return predictability, its determinants, and profitable trading strategies","Khan, M.",Jan 2021,https://pureportal.coventry.ac.uk/en/persons/mahbub-khan,https://pureportal.coventry.ac.uk/en/publications/equity-return-predictability-its-determinants-and-profitable-trad
ESG practices and the cost of debt: Evidence from EU countries,"Saleh, A.",Sep 2021,https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh,https://pureportal.coventry.ac.uk/en/publications/esg-practices-and-the-cost-of-debt-evidence-from-eu-countries
Evaluating Drivers of Fintech Adoption in the Netherlands,"Hasan, R.",30 Aug 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands
Financial decisions and market performance in Chinese mergers and acquisitions,"Muganhu, C.",25 Aug 2021,https://pureportal.coventry.ac.uk/en/persons/christopher-muganhu,https://pureportal.coventry.ac.uk/en/publications/financial-decisions-and-market-performance-in-chinese-mergers-and
Financial Inclusion,"Sapre, N.",2021,https://pureportal.coventry.ac.uk/en/persons/nikhil-sapre,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion
"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationship","Khan, M.",30 Nov 2021,https://pureportal.coventry.ac.uk/en/persons/mahbub-khan,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf
Finding our place in the world with the Sustainable Development Goals,"Bello, J.,Ruddock, L.",18 Feb 2021,"https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,https://pureportal.coventry.ac.uk/en/persons/luda-ruddock",https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g
"Fintech frontiers in quantum computing, fractals, and blockchain distributed ledger: Paradigm shifts and open innovation",,7 Jan 2021,,https://pureportal.coventry.ac.uk/en/publications/fintech-frontiers-in-quantum-computing-fractals-and-blockchain-di
"Firms cash management, adjustment cost and its impact on firms’ speed of adjustment-A cross country analysis",,Jan 2021,,https://pureportal.coventry.ac.uk/en/publications/firms-cash-management-adjustment-cost-and-its-impact-on-firms-spe
Foreign Ownership and Productivity in Chinese Newly Listed Firms: The Moderating Roles of Founder’s Human Capital and Social Ties,"Tanna, S.",26 Feb 2021,https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna,https://pureportal.coventry.ac.uk/en/publications/foreign-ownership-and-productivity-in-chinese-newly-listed-firms-
French Indochina War: Reflections for strategic resilience,"Huston, S.",7 Aug 2021,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/french-indochina-war-reflections-for-strategic-resilience
Global trends in board diversity research: a bibliometric view,"Owusu, A.",23 Nov 2021,https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,https://pureportal.coventry.ac.uk/en/publications/global-trends-in-board-diversity-research-a-bibliometric-view
Government accounting reforms in Sub-Saharan African countries and the selective ignorance of the epistemic community: A competing logics perspective,"Noah, A.",Jul 2021,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah,https://pureportal.coventry.ac.uk/en/publications/government-accounting-reforms-in-sub-saharan-african-countries-an-2
Growth Effects of Remittance: A Case of Turkey Diaspora,,12 Feb 2021,,https://pureportal.coventry.ac.uk/en/publications/growth-effects-of-remittance-a-case-of-turkey-diaspora
Impact of Maoism on the urban form and structure of cities in mainland China,"Huston, S.",7 May 2021,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/impact-of-maoism-on-the-urban-form-and-structure-of-cities-in-mai
Internal corporate governance mechanisms and financial performance: evidence from the UKs top FTSE 100 listed companies,"Elmghaamez, I.",2 Apr 2021,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/internal-corporate-governance-mechanisms-and-financial-performanc
Islamic microfinance: A bibliometric review,"Hasan, R.",Aug 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/islamic-microfinance-a-bibliometric-review
Liquidity and Short-Run Predictability: Evidence from International Stock Markets  ,"Park, J. S.,Newaz, M. K.",Nov 2021,"https://pureportal.coventry.ac.uk/en/persons/jin-suk-park,https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz",https://pureportal.coventry.ac.uk/en/publications/liquidity-and-short-run-predictability-evidence-from-internationa
"Mandatory ESG Reporting and XBRL Taxonomies Combination: ESG Ratings and Income Statement, a Sustainable Value-Added Disclosure",,9 Aug 2021,,https://pureportal.coventry.ac.uk/en/publications/mandatory-esg-reporting-and-xbrl-taxonomies-combination-esg-ratin
Military Expenditure Economic Growth Nexus in Jordan: An Application of ARDL Bound Test Analysis in the Presence of Breaks,"Win, S.",3 Oct 2021,https://pureportal.coventry.ac.uk/en/persons/sandar-win,https://pureportal.coventry.ac.uk/en/publications/military-expenditure-economic-growth-nexus-in-jordan-an-applicati
Modelling asymmetric price responses of industrial energy demand with a dynamic hierarchical model,"Sharimakin, A.",Jun 2021,https://pureportal.coventry.ac.uk/en/persons/akin-sharimakin,https://pureportal.coventry.ac.uk/en/publications/modelling-asymmetric-price-responses-of-industrial-energy-demand-
Monitoring exchange rate instability in 12 selected Islamic economies,"Zarei, A.",Sep 2021,https://pureportal.coventry.ac.uk/en/persons/alireza-zarei,https://pureportal.coventry.ac.uk/en/publications/monitoring-exchange-rate-instability-in-12-selected-islamic-econo
"Online Banking in Italy. “Widiba Bank” Case Study, PESTLE and DEA Analysis",,30 Mar 2021,,https://pureportal.coventry.ac.uk/en/publications/online-banking-in-italy-widiba-bank-case-study-pestle-and-dea-ana
Performance measurement in smart city governance: A case study of an Egyptian city council,"Alsaid, L.",2021,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-smart-city-governance-a-case-study-of-
Probability of Mergers and Acquisitions Deal Failure,"Tanna, S.",21 Jan 2021,https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna,https://pureportal.coventry.ac.uk/en/publications/probability-of-mergers-and-acquisitions-deal-failure
Reasons behind the worldwide diversity in identity and issuance of good governance codes,"Elmghaamez, I.",Jun 2021,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/reasons-behind-the-worldwide-diversity-in-identity-and-issuance-o
Regulatory capital: Implications on credit creation and profitability,"Oino, I.",2021,https://pureportal.coventry.ac.uk/en/persons/isaiah-oino,https://pureportal.coventry.ac.uk/en/publications/regulatory-capital-implications-on-credit-creation-and-profitabil
Revisiting the Expected Utility Theory and the Consumption CAPM,"Sapre, N.",2021,https://pureportal.coventry.ac.uk/en/persons/nikhil-sapre,https://pureportal.coventry.ac.uk/en/publications/revisiting-the-expected-utility-theory-and-the-consumption-capm
Role of Public Auditors in Fraud Detection: A Critical Review,"Turksen, U.",18 Jan 2021,https://pureportal.coventry.ac.uk/en/persons/umut-turksen,https://pureportal.coventry.ac.uk/en/publications/role-of-public-auditors-in-fraud-detection-a-critical-review
Sovereign wealth funds and corporate social responsibility: a comparison of Norway’s Government Pension Fund Global and Abu Dhabi Fund for Development,"Hasan, R.",28 Jul 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/sovereign-wealth-funds-and-corporate-social-responsibility-a-comp
Stakeholder power and organisational trust repair: The case of the BBC,"Noah, A.",27 May 2021,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah,https://pureportal.coventry.ac.uk/en/publications/stakeholder-power-and-organisational-trust-repair-the-case-of-the
Statystyczna analiza skutków sub- i dezurbanizacji w Polsce – „efekt przynależności”,"Lis, P.",2021,https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/statistical-analysis-of-the-effects-of-sub-urbanisation-and-de-ur
Studium delimitacji miejskich obszarów funkcjonalnych zapomocą metod statystycznych,"Lis, P.",2021,https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/application-of-regression-analysis-to-delineate-polish-urban-and-
Sukuk and Bond Puzzle: An Analysis with Characteristics Matched Portfolios,"Kabir, S.",2021,https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir,https://pureportal.coventry.ac.uk/en/publications/sukuk-and-bond-puzzle-an-analysis-with-characteristics-matched-po
Testing Dividend Life-Cycle Theory in the Islamic and Conventional Banking Sectors of GCC Countries,"Tanna, S.",4 Mar 2021,https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna,https://pureportal.coventry.ac.uk/en/publications/testing-dividend-life-cycle-theory-in-the-islamic-and-conventiona
The effect of institutions on the FDI-growth nexus: What matter most?,"Tanna, S.",28 Sep 2021,https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-institutions-on-the-fdi-growth-nexus-what-matter-mo
